match,group,is_participating,start,end,content,URL 
1,1,yes,369,378,L16_31023,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/L16_31023.b3dm
2,1,yes,655,665,L17_310230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/L17_310230.b3dm
3,1,yes,941,957,230/L18_3102300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L18_3102300.b3dm
4,1,yes,1233,1250,230/L19_31023000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L19_31023000.b3dm
5,1,yes,1526,1544,230/L20_310230000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230000.b3dm
10,1,yes,4161,4179,230/L20_310230010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230010.b3dm
15,1,yes,7371,7389,230/L20_310230020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230020.b3dm
20,1,yes,10293,10311,230/L20_310230030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230030.b3dm
25,1,yes,14080,14097,230/L19_31023010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L19_31023010.b3dm
26,1,yes,14373,14391,230/L20_310230100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230100.b3dm
31,1,yes,17297,17315,230/L20_310230110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230110.b3dm
36,1,yes,21086,21104,230/L20_310230120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230120.b3dm
41,1,yes,24582,24600,230/L20_310230130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230130.b3dm
46,1,yes,28371,28388,230/L19_31023020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L19_31023020.b3dm
47,1,yes,28664,28682,230/L20_310230200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230200.b3dm
52,1,yes,31299,31317,230/L20_310230210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230210.b3dm
57,1,yes,33934,33952,230/L20_310230220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230220.b3dm
62,1,yes,36569,36587,230/L20_310230230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230230.b3dm
67,1,yes,39205,39222,230/L19_31023030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L19_31023030.b3dm
68,1,yes,39498,39516,230/L20_310230300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230300.b3dm
73,1,yes,42420,42438,230/L20_310230310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230310.b3dm
78,1,yes,45919,45937,230/L20_310230320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230320.b3dm
83,1,yes,48841,48859,230/L20_310230330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/230/L20_310230330.b3dm
88,1,yes,52052,52068,231/L18_3102310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L18_3102310.b3dm
89,1,yes,52344,52361,231/L19_31023100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L19_31023100.b3dm
90,1,yes,52637,52655,231/L20_310231000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231000.b3dm
95,1,yes,56137,56155,231/L20_310231010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231010.b3dm
100,1,yes,59928,59946,231/L20_310231020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231020.b3dm
105,1,yes,63430,63448,231/L20_310231030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231030.b3dm
110,1,yes,66643,66660,231/L19_31023110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L19_31023110.b3dm
111,1,yes,66936,66954,231/L20_310231100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231100.b3dm
116,1,yes,70146,70164,231/L20_310231110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231110.b3dm
121,1,yes,73068,73086,231/L20_310231120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231120.b3dm
126,1,yes,75703,75721,231/L20_310231130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231130.b3dm
131,1,yes,78339,78356,231/L19_31023120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L19_31023120.b3dm
132,1,yes,78632,78650,231/L20_310231200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231200.b3dm
137,1,yes,81556,81574,231/L20_310231210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231210.b3dm
142,1,yes,84191,84209,231/L20_310231220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231220.b3dm
147,1,yes,88267,88285,231/L20_310231230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231230.b3dm
152,1,yes,91770,91787,231/L19_31023130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L19_31023130.b3dm
153,1,yes,92063,92081,231/L20_310231300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231300.b3dm
158,1,yes,94987,95005,231/L20_310231310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231310.b3dm
163,1,yes,97622,97640,231/L20_310231320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231320.b3dm
168,1,yes,100257,100275,231/L20_310231330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/231/L20_310231330.b3dm
173,1,yes,102890,102906,232/L18_3102320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L18_3102320.b3dm
174,1,yes,103182,103199,232/L19_31023200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L19_31023200.b3dm
175,1,yes,103475,103493,232/L20_310232000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232000.b3dm
180,1,yes,106110,106128,232/L20_310232010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232010.b3dm
185,1,yes,109899,109917,232/L20_310232020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232020.b3dm
190,1,yes,112822,112840,232/L20_310232030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232030.b3dm
195,1,yes,115458,115475,232/L19_31023210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L19_31023210.b3dm
196,1,yes,115751,115769,232/L20_310232100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232100.b3dm
201,1,yes,119537,119555,232/L20_310232110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232110.b3dm
206,1,yes,123036,123054,232/L20_310232120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232120.b3dm
209,1,yes,125078,125096,232/L20_310232130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232130.b3dm
214,1,yes,128575,128593,232/L20_310232140,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232140.b3dm
221,1,yes,132957,132974,232/L19_31023220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L19_31023220.b3dm
222,1,yes,133250,133268,232/L20_310232200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232200.b3dm
227,1,yes,136461,136479,232/L20_310232210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232210.b3dm
232,1,yes,139384,139402,232/L20_310232220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232220.b3dm
237,1,yes,142593,142611,232/L20_310232230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232230.b3dm
242,1,yes,146091,146108,232/L19_31023230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L19_31023230.b3dm
243,1,yes,146384,146402,232/L20_310232300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232300.b3dm
248,1,yes,149593,149611,232/L20_310232310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232310.b3dm
253,1,yes,153092,153110,232/L20_310232320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232320.b3dm
258,1,yes,156588,156606,232/L20_310232330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/232/L20_310232330.b3dm
263,1,yes,160369,160385,233/L18_3102330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L18_3102330.b3dm
264,1,yes,160661,160678,233/L19_31023300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023300.b3dm
265,1,yes,160954,160972,233/L20_310233000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233000.b3dm
270,1,yes,164745,164763,233/L20_310233010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233010.b3dm
275,1,yes,167380,167398,233/L20_310233020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233020.b3dm
278,1,yes,168845,168863,233/L20_310233030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233030.b3dm
284,1,yes,172354,172372,233/L20_310233040,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233040.b3dm
289,1,yes,174990,175007,233/L19_31023310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023310.b3dm
290,1,yes,175283,175301,233/L20_310233100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233100.b3dm
295,1,yes,177918,177936,233/L20_310233110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233110.b3dm
300,1,yes,180553,180571,233/L20_310233120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233120.b3dm
305,1,yes,183188,183206,233/L20_310233130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233130.b3dm
310,1,yes,185824,185841,233/L19_31023320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023320.b3dm
311,1,yes,186117,186135,233/L20_310233200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233200.b3dm
316,1,yes,190197,190215,233/L20_310233210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233210.b3dm
321,1,yes,193410,193428,233/L20_310233220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233220.b3dm
326,1,yes,196908,196926,233/L20_310233230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233230.b3dm
331,1,yes,199833,199850,233/L19_31023330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L19_31023330.b3dm
332,1,yes,200126,200144,233/L20_310233300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233300.b3dm
337,1,yes,202761,202779,233/L20_310233310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233310.b3dm
342,1,yes,205396,205414,233/L20_310233320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233320.b3dm
347,1,yes,208031,208049,233/L20_310233330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/310/233/L20_310233330.b3dm
